詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
,附錄,土庫鎮,Thôo-khòo-tìn,雲林縣
,附錄,北港鎮,Pak-káng-tìn,雲林縣
,附錄,古坑鄉,Kóo-khenn-hiong,雲林縣
,附錄,大埤鄉,Tuā-pi-hiong,雲林縣
,附錄,莿桐鄉,Tshì-tông-hiong,雲林縣
,附錄,林內鄉,Nâ-lāi-hiong,雲林縣
,附錄,二崙鄉,Jī-lūn-hiong,雲林縣
,附錄,崙背鄉,Lūn-puè-hiong,雲林縣
,附錄,麥寮鄉,Be̍h-liâu-hiong,雲林縣
,附錄,東勢鄉,Tang-sì-hiong,雲林縣
,附錄,褒忠鄉,Po-tiong-hiong,雲林縣
,附錄,臺西鄉,Tâi-se-hiong,雲林縣
,附錄,元長鄉,Guân-tsióng-hiong,雲林縣
,附錄,四湖鄉,Sì-ôo-hiong,雲林縣
,附錄,口湖鄉,Kháu-ôo-hiong,雲林縣
,附錄,水林鄉,Tsuí-nâ-hiong,雲林縣
,附錄,嘉義縣,Ka-gī-kuān,嘉義縣
,附錄,太保市,Thài-pó-tshī,嘉義縣
,附錄,朴子市,Phoh-tsú-tshī,嘉義縣
,附錄,布袋鎮,Pòo-tē-tìn,嘉義縣
,附錄,大林鎮,Tuā-nâ-tìn,嘉義縣
,附錄,民雄鄉,Bîn-hiông-hiong,嘉義縣
,附錄,溪口鄉,Khe-kháu-hiong,嘉義縣
,附錄,新港鄉,Sin-káng-hiong,嘉義縣
,附錄,六腳鄉,La̍k-kha-hiong,嘉義縣
,附錄,東石鄉,Tang-tsio̍h-hiong,嘉義縣
,附錄,義竹鄉,Gī-tik-hiong,嘉義縣
,附錄,鹿草鄉,Lo̍k-tsháu-hiong,嘉義縣
,附錄,水上鄉,Tsuí-siāng-hiong,嘉義縣
,附錄,中埔鄉,Tiong-poo-hiong,嘉義縣
,附錄,竹崎鄉,Tik-kiā-hiong,嘉義縣
,附錄,梅山鄉,Muî-san-hiong,嘉義縣
,附錄,番路鄉,Huan-lōo-hiong,嘉義縣
,附錄,大埔鄉,Tuā-poo-hiong,嘉義縣
,附錄,阿里山鄉,A-lí-san-hiong,嘉義縣
,附錄,新營區,Sin-iânn-khu,臺南市
,附錄,鹽水區,Kiâm-tsuí-khu,臺南市
,附錄,白河區,Pe̍h-hô-khu,臺南市
,附錄,柳營區,Liú-iânn-khu,臺南市
,附錄,後壁區,Āu-piah-khu,臺南市
,附錄,東山區,Tong-san-khu,臺南市
,附錄,麻豆區,Muâ-tāu-khu,臺南市
,附錄,下營區,Ē-iânn-khu,臺南市
,附錄,六甲區,La̍k-kah-khu,臺南市
,附錄,官田區,Kuann-tiān-khu,臺南市
,附錄,大內區,Tuā-lāi-khu,臺南市
,附錄,佳里區,Ka-lí-khu,臺南市
,附錄,學甲區,Ha̍k-kah-khu,臺南市
,附錄,西港區,Sai-káng-khu,臺南市
,附錄,七股區,Tshit-kóo-khu,臺南市
,附錄,將軍區,Tsiong-kun-khu,臺南市
,附錄,北門區,Pak-mn̂g-khu,臺南市
,附錄,新化區,Sin-huà-khu,臺南市
,附錄,善化區,Siān-huà-khu,臺南市
,附錄,新市區,Sin-tshī-khu,臺南市
,附錄,安定區,An-tīng-khu,臺南市
,附錄,山上區,San-siōng-khu,臺南市
,附錄,玉井區,Gio̍k-tsénn-khu,臺南市
,附錄,楠西區,Lâm-se-khu,臺南市
,附錄,南化區,Lâm-huà-khu,臺南市
,附錄,左鎮區,Tsó-tìn-khu,臺南市
,附錄,仁德區,Jîn-tik-khu,臺南市
,附錄,歸仁區,Kui-jîn-khu,臺南市
,附錄,關廟區,Kuan-biō-khu,臺南市
,附錄,龍崎區,Liông-kiā-khu,臺南市
,附錄,永康區,Íng-khong-khu,臺南市
,附錄,鳳山區,Hōng-suann-khu,高雄市
,附錄,林園區,Lîm-hn̂g-khu,高雄市
,附錄,大寮區,Tuā-liâu-khu,高雄市
,附錄,大樹區,Tuā-tshiū-khu,高雄市
,附錄,大社區,Tuā-siā-khu,高雄市
,附錄,仁武區,Jîn-bú-khu,高雄市
,附錄,鳥松區,Tsiáu-tshîng-khu,高雄市
,附錄,岡山區,Kong-san-khu,高雄市
,附錄,橋頭區,Kiô-thâu-khu,高雄市
,附錄,燕巢區,Iàn-tsâu-khu,高雄市
,附錄,田寮區,Tshân-liâu-khu,高雄市
,附錄,阿蓮區,A-lian-khu,高雄市
,附錄,路竹區,Lōo-tik-khu,高雄市
,附錄,湖內區,Ôo-lāi-khu,高雄市
,附錄,茄萣區,Ka-tiānn-khu,高雄市
,附錄,永安區,Íng-an-khu,高雄市
,附錄,彌陀區,Mî-tô-khu,高雄市
,附錄,梓官區,Tsú-kuann-khu,高雄市
,附錄,旗山區,Kî-san-khu,高雄市
,附錄,美濃區,Bi-long-khu,高雄市
,附錄,六龜區,La̍k-ku-khu,高雄市
,附錄,甲仙區,Kah-sian-khu,高雄市
,附錄,杉林區,Sam-nâ-khu,高雄市
,附錄,內門區,Lāi-bûn-khu,高雄市
,附錄,茂林區,Bōo-lîm-khu,高雄市
,附錄,桃源區,Thô-guân-khu,高雄市
,附錄,那瑪夏區,Na-má-siah-khu,高雄市
,附錄,屏東縣,Pîn-tong-kuān,屏東縣
,附錄,屏東市,Pîn-tong-tshī,屏東縣
,附錄,潮州鎮,Tiô-tsiu-tìn,屏東縣
,附錄,東港鎮,Tang-káng-tìn,屏東縣
,附錄,恆春鎮,Hîng-tshun-tìn,屏東縣
,附錄,萬丹鄉,Bān-tan-hiong,屏東縣
,附錄,長治鄉,Tióng-tī-hiong,屏東縣
,附錄,麟洛鄉,Lîn-lo̍k-hiong,屏東縣
,附錄,九如鄉,Kiú-jû-hiong,屏東縣
,附錄,里港鄉,Lí-káng-hiong,屏東縣
,附錄,鹽埔鄉,Iâm-poo-hiong,屏東縣
,附錄,高樹鄉,Ko-tshiū-hiong,屏東縣
,附錄,萬巒鄉,Bān-bân-hiong,屏東縣
,附錄,內埔鄉,Lāi-poo-hiong,屏東縣
,附錄,竹田鄉,Tik-tshân-hiong,屏東縣
,附錄,新埤鄉,Sin-pi-hiong,屏東縣
,附錄,枋寮鄉,Pang-liâu-hiong,屏東縣
,附錄,新園鄉,Sin-hn̂g-hiong,屏東縣
,附錄,崁頂鄉,Khàm-tíng-hiong,屏東縣
,附錄,林邊鄉,Nâ-pinn-hiong,屏東縣
,附錄,南州鄉,Lâm-tsiu-hiong,屏東縣
,附錄,佳冬鄉,Ka-tang-hiong,屏東縣
,附錄,琉球鄉,Liû-khiû-hiong,屏東縣
,附錄,車城鄉,Tshâ-siânn-hiong,屏東縣
,附錄,滿州鄉,Buán-tsiu-hiong,屏東縣
,附錄,枋山鄉,Pang-suann-hiong,屏東縣
,附錄,三地門鄉,Sam-tē-mn̂g-hiong,屏東縣
,附錄,霧臺鄉,Bū-tâi-hiong,屏東縣
,附錄,瑪家鄉,Má-ka-hiong,屏東縣
,附錄,泰武鄉,Thài-bú-hiong,屏東縣
,附錄,來義鄉,Lâi-gī-hiong,屏東縣
,附錄,春日鄉,Tshun-ji̍t-hiong,屏東縣
,附錄,獅子鄉,Sai-á-hiong,屏東縣
,附錄,牡丹鄉,Bóo-tan-hiong,屏東縣
,附錄,臺東縣,Tâi-tang-kuān,臺東縣
,附錄,臺東市,Tâi-tang-tshī,臺東縣
,附錄,成功鎮,Sîng-kong-tìn,臺東縣
,附錄,關山鎮,Kuan-san-tìn,臺東縣
,附錄,卑南鄉,Pi-lâm-hiong,臺東縣
,附錄,鹿野鄉,Lo̍k-iá-hiong,臺東縣
,附錄,池上鄉,Tî-siōng-hiong,臺東縣
,附錄,東河鄉,Tong-hô-hiong,臺東縣
,附錄,長濱鄉,Tiông-pin-hiong,臺東縣
,附錄,太麻里鄉,Thài-mâ-lí-hiong,臺東縣
,附錄,大武鄉,Tāi-bú-hiong,臺東縣
,附錄,綠島鄉,Li̍k-tó-hiong,臺東縣
,附錄,海端鄉,Hái-tuan-hiong,臺東縣
,附錄,延平鄉,Iân-pîng-hiong,臺東縣
,附錄,金峰鄉,Kim-hong-hiong,臺東縣
,附錄,達仁鄉,Ta̍t-jîn-hiong,臺東縣
,附錄,蘭嶼鄉,Lân-sū-hiong,臺東縣
,附錄,花蓮縣,Hua-liân-kuān,花蓮縣
,附錄,花蓮市,Hua-liân-tshī,花蓮縣
,附錄,鳳林鎮,Hōng-lîm-tìn,花蓮縣
,附錄,玉里鎮,Gio̍k-lí-tìn,花蓮縣
,附錄,新城鄉,Sin-siânn-hiong,花蓮縣
,附錄,吉安鄉,Kiat-an-hiong,花蓮縣
,附錄,壽豐鄉,Siū-hong-hiong,花蓮縣
,附錄,光復鄉,Kong-ho̍k-hiong,花蓮縣
,附錄,豐濱鄉,Hong-pin-hiong,花蓮縣
,附錄,瑞穗鄉,Suī-suī-hiong,花蓮縣
,附錄,富里鄉,Hù-lí-hiong,花蓮縣
,附錄,秀林鄉,Siù-lîm-hiong,花蓮縣
,附錄,萬榮鄉,Bān-îng-hiong,花蓮縣
,附錄,卓溪鄉,Toh-khe-hiong,花蓮縣
,附錄,澎湖縣,Phînn-ôo-kuān,澎湖縣
,附錄,馬公市,Má-king-tshī,澎湖縣
,附錄,湖西鄉,Ôo-sai-hiong,澎湖縣
,附錄,白沙鄉,Pe̍h-sua-hiong,澎湖縣
,附錄,西嶼鄉,Sai-sū-hiong,澎湖縣
,附錄,望安鄉,Bāng-uann-hiong,澎湖縣
,附錄,七美鄉,Tshit-bí-hiong,澎湖縣
,附錄,基隆市,Ke-lâng-tshī,基隆市
,附錄,中正區,Tiong-tsìng-khu,基隆市
,附錄,七堵區,Tshit-tóo-khu,基隆市
,附錄,暖暖區,Luán-luán-khu,基隆市
,附錄,仁愛區,Jîn-ài-khu,基隆市
,附錄,中山區,Tiong-san-khu,基隆市
,附錄,安樂區,An-lo̍k-khu,基隆市
,附錄,信義區,Sìn-gī-khu,基隆市
,附錄,新竹市,Sin-tik-tshī,新竹市
,附錄,東區,Tang-khu,新竹市
,附錄,北區,Pak-khu,新竹市
,附錄,香山區,Hiong-san-khu,新竹市
,附錄,臺中市,Tâi-tiong-tshī,臺中市
,附錄,中區,Tiong-khu,臺中市
,附錄,東區,Tang-khu,臺中市
,附錄,南區,Lâm-khu,臺中市
,附錄,西區,Sai-khu,臺中市
,附錄,北區,Pak-khu,臺中市
,附錄,西屯區,Sai-tūn-khu,臺中市
,附錄,南屯區,Lâm-tūn-khu,臺中市
,附錄,北屯區,Pak-tūn-khu,臺中市
,附錄,嘉義市,Ka-gī-tshī,嘉義市
,附錄,東區,Tang-khu,嘉義市
,附錄,西區,Sai-khu,嘉義市
,附錄,臺南市,Tâi-lâm-tshī,臺南市
,附錄,東區,Tang-khu,臺南市
,附錄,南區,Lâm-khu,臺南市
,附錄,北區,Pak-khu,臺南市
,附錄,中西區,Tiong-se-khu,臺南市
,附錄,安南區,An-lâm-khu,臺南市
,附錄,安平區,An-pîng-khu,臺南市
,附錄,金門縣,Kim-mn̂g-kuān,金門縣
,附錄,金城鎮,Kim-siânn-tìn,金門縣
,附錄,金沙鎮,Kim-sua-tìn,金門縣
,附錄,金湖鎮,Kim-ôo-tìn,金門縣
,附錄,金寧鄉,Kim-lîng-hiong,金門縣
,附錄,烈嶼鄉,Lia̍t-sū-hiong,金門縣
,附錄,烏坵鄉,Oo-khiu-hiong,金門縣
,附錄,連江縣,Liân-kang-kuān,連江縣
,附錄,南竿鄉,Lâm-kan-hiong,連江縣
,附錄,北竿鄉,Pak-kan-hiong,連江縣
,附錄,莒光鄉,Kí-kong-hiong,連江縣
,附錄,東引鄉,Tang-ín-hiong,連江縣
,附錄,東沙,Tang-sua,其他
,附錄,南沙,Lâm-sua,其他
,附錄,釣魚台,Tiò-hî-tâi,其他
,附錄,中山國中,Tiong-san Kok-tiong,臺北捷運文湖線,21273(1)
,附錄,南京復興,Lâm-kiann Ho̍k-hing,"臺北捷運文湖線,臺北捷運松山新店線",21274(1)
,附錄,忠孝復興,Tiong-hàu Ho̍k-hing,"臺北捷運文湖線,臺北捷運板南線",21275(1)
,附錄,大安,Tāi-an,"臺北捷運文湖線,臺北捷運淡水信義線",21276(1)
,附錄,科技大樓,Kho-ki Tuā-lâu,臺北捷運文湖線,21277(1)
,附錄,六張犁,La̍k-tiunn-lê,臺北捷運文湖線,21278(1)
,附錄,麟光,Lîn-kong,臺北捷運文湖線,21279(1)
,附錄,辛亥,Sin-hāi,臺北捷運文湖線,21280(1)
,附錄,萬芳醫院,Bān-hong Pēnn-īnn/Bān-hong Pīnn-īnn,臺北捷運文湖線,21281(1)
,附錄,萬芳社區,Bān-hong Siā-khu,臺北捷運文湖線,21282(1)
,附錄,木柵,Ba̍k-sa,臺北捷運文湖線,21283(1)
,附錄,動物園,Tōng-bu̍t-hn̂g,臺北捷運文湖線,21284(1)
,附錄,紅樹林,Âng-tshiū-nâ,"臺北捷運淡水信義線,淡海輕軌",21285(1)
,附錄,竹圍,Tik-uî-á,臺北捷運淡水信義線,21286(1)
,附錄,關渡,Kan-tāu,臺北捷運淡水信義線,21287(1)
,附錄,忠義,Tiong-gī,臺北捷運淡水信義線,21288(1)
,附錄,復興崗,Ho̍k-hing-kong,臺北捷運淡水信義線,21289(1)
,附錄,北投,Pak-tâu,臺北捷運淡水信義線,21290(1)
,附錄,奇岩,Kî-giâm,臺北捷運淡水信義線,21291(1)
,附錄,唭哩岸,Ki-lí-gān,臺北捷運淡水信義線,21292(1)
,附錄,石牌,Tsio̍h-pâi-á,臺北捷運淡水信義線,21293(1)
,附錄,明德,Bîng-tik,臺北捷運淡水信義線,21294(1)
,附錄,芝山,Tsi-san,臺北捷運淡水信義線,21295(1)
,附錄,士林,Sū-lîm,臺北捷運淡水信義線,21296(1)
,附錄,劍潭,Kiàm-thâm,臺北捷運淡水信義線,21297(1)
,附錄,圓山,Înn-suann-á,臺北捷運淡水信義線,21298(1)
,附錄,民權西路,Bîn-kuân-se-lōo,"臺北捷運淡水信義線,臺北捷運中和新蘆線",21299(1)
,附錄,雙連,Siang-liân,臺北捷運淡水信義線,21300(1)
,附錄,中山,Tiong-san,"臺北捷運淡水信義線,臺北捷運松山新店線",21301(1)
,附錄,臺北車站,Tâi-pak Tshia-tsām,"臺北捷運淡水信義線,臺北捷運板南線,桃園機場捷運",21302(1)
,附錄,臺大醫院,Tâi-tāi Pēnn-īnn/Tâi-tāi Pīnn-īnn,臺北捷運淡水信義線,21303(1)
,附錄,中正紀念堂,Tiong-tsìng Kì-liām-tn̂g,"臺北捷運淡水信義線,臺北捷運松山新店線",21304(1)
,附錄,古亭,Kóo-tîng,"臺北捷運松山新店線,臺北捷運中和新蘆線",21305(1)
,附錄,臺電大樓,Tâi-tiān Tuā-lâu,臺北捷運松山新店線,21306(1)
,附錄,公館,Kong-kuán,臺北捷運松山新店線,21307(1)
,附錄,萬隆,Bān-liông,臺北捷運松山新店線,21308(1)
,附錄,景美,Kíng-bué/Kíng-bé,臺北捷運松山新店線,21309(1)
,附錄,大坪林,Tuā-pînn-nâ,"臺北捷運松山新店線,新北捷運環狀線",21310(1)
,附錄,七張,Tshit-tiunn,臺北捷運松山新店線,21311(1)
,附錄,新店區公所,Sin-tiàm Khu-kong-sóo,臺北捷運松山新店線,21312(1)
,附錄,新店,Sin-tiàm,臺北捷運松山新店線,21313(1)
,附錄,頂溪,Tíng-khe/Tíng-khue,臺北捷運中和新蘆線,21314(1)
,附錄,永安市場,Íng-an Tshī-tiûnn,臺北捷運中和新蘆線,21315(1)
,附錄,景安,Kíng-an,"臺北捷運中和新蘆線,新北捷運環狀線",21316(1)
,附錄,南勢角,Lâm-sì-kak,臺北捷運中和新蘆線,21317(1)
,附錄,昆陽,Khun-iông,臺北捷運板南線,21318(1)
,附錄,後山埤,Āu-suann-pi,臺北捷運板南線,21319(1)
,附錄,永春,Íng-tshun,臺北捷運板南線,21320(1)
,附錄,市政府,Tshī-tsìng-hú,臺北捷運板南線,21321(1)
,附錄,國父紀念館,Kok-hū Kì-liām-kuán,臺北捷運板南線,21322(1)
,附錄,忠孝敦化,Tiong-hàu Tun-huà,臺北捷運板南線,21323(1)
,附錄,善導寺,Siān-tō-sī,臺北捷運板南線,21326(1)
,附錄,西門,Se-mn̂g,"臺北捷運松山新店線,臺北捷運板南線",21328(1)
,附錄,龍山寺,Liông-san-sī,臺北捷運板南線,21329(1)
,附錄,江子翠,Káng-á-tshuì,臺北捷運板南線,21330(1)
,附錄,新埔,Sin-poo,臺北捷運板南線,21331(1)
,附錄,板橋,Pang-kiô,"臺北捷運板南線,新北捷運環狀線",21332(1)
,附錄,府中,Hú-tiong,臺北捷運板南線,21333(1)
,附錄,亞東醫院,A-tang Pēnn-īnn/A-tang Pīnn-īnn,臺北捷運板南線,21334(1)
,附錄,海山,Hái-san,臺北捷運板南線,21335(1)
,附錄,土城,Thôo-siânn,臺北捷運板南線,21336(1)
,附錄,永寧,Íng-lîng,臺北捷運板南線,21337(1)
,附錄,小南門,Sió-lâm-mn̂g,臺北捷運松山新店線,21338(1)
,附錄,新北投,Sin-pak-tâu,臺北捷運淡水信義線,21339(1)
,附錄,小碧潭,Sió-phik-thâm,臺北捷運松山新店線,21340(1)
,附錄,西子灣,Se-á-uân,,21341(1)
,附錄,鹽埕埔,Iâm-tiânn-poo,高雄捷運橘線,21342(1)
,附錄,市議會,Tshī-gī-huē,,21343(1)
,附錄,信義國小,Sìn-gī Kok-sió,高雄捷運橘線,21344(1)
,附錄,文化中心,Bûn-huà Tiong-sim,高雄捷運橘線,21345(1)
,附錄,五塊厝,Gōo-tè-tshù,高雄捷運橘線,21346(1)
,附錄,技擊館,Ki-kik-kuán,,21347(1)
,附錄,衛武營,Uē-bú-iânn,高雄捷運橘線,21348(1)
,附錄,鳳山西站（市議會）,Hōng-suann-sai-tsām (Tshī-gī-huē),高雄捷運橘線,21349(1)
,附錄,鳳山,Hōng-suann,高雄捷運橘線,21350(1)
,附錄,大東,Tāi-tang,高雄捷運橘線,21351(1)
,附錄,鳳山國中,Hōng-suann Kok-tiong,高雄捷運橘線,21352(1)
,附錄,大寮,Tuā-liâu,高雄捷運橘線,21353(1)
,附錄,小港,Sió-káng,高雄捷運紅線,21354(1)
,附錄,高雄國際機場,Ko-hiông Kok-tsè Ki-tiûnn,高雄捷運紅線,21355(1)
,附錄,草衙,Tsháu-gê,高雄捷運紅線,21356(1)
,附錄,前鎮高中,Tsiân-tìn Ko-tiong,高雄捷運紅線,21357(1)
,附錄,凱旋,Khái-suân,高雄捷運紅線,21358(1)
,附錄,獅甲,Sai-kah,高雄捷運紅線,21359(1)
,附錄,三多商圈,Sam-to Siong-khuan,高雄捷運紅線,21360(1)
,附錄,中央公園,Tiong-iong Kong-hn̂g,高雄捷運紅線,21361(1)
,附錄,美麗島,Bí-lē-tó,"高雄捷運紅線,高雄捷運橘線",21362(1)
,附錄,高雄車站,Ko-hiông Tshia-tsām,高雄捷運紅線,21363(1)
,附錄,後驛,Āu-ia̍h,高雄捷運紅線,21364(1)
,附錄,凹子底,Lap-á-té,高雄捷運紅線,21365(1)
,附錄,巨蛋,Kī-tàn/Kū-tàn,高雄捷運紅線,21366(1)
,附錄,生態園區,Sing-thài Hn̂g-khu,高雄捷運紅線,21367(1)
,附錄,左營,Tsó-iânn,高雄捷運紅線,21368(1)
,附錄,世運,Sè-ūn,高雄捷運紅線,21369(1)
,附錄,油廠國小,Iû-tshiúnn Kok-sió,高雄捷運紅線,21370(1)
,附錄,楠梓科技園區,Lâm-á-khenn Kho-ki Hn̂g-khu,高雄捷運紅線,21371(1)
,附錄,後勁,Āu-ngē,高雄捷運紅線,21372(1)
,附錄,都會公園,Too-huē Kong-hn̂g,高雄捷運紅線,21373(1)
,附錄,青埔,Tshenn-poo,高雄捷運紅線,21374(1)
,附錄,橋頭糖廠,Kiô-thâu Thn̂g-tshiúnn,高雄捷運紅線,21375(1)
,附錄,橋頭火車站,Kiô-thâu Hué-tshia-tsām,高雄捷運紅線,21376(1)
,附錄,岡山高醫,Kong-san Ko-i,高雄捷運紅線,21377(1)
,附錄,大直,Tāi-ti̍t,臺北捷運文湖線,21378(1)
,附錄,劍南路,Kiàm-lâm-lōo,臺北捷運文湖線,21379(1)
,附錄,西湖,Se-ôo,臺北捷運文湖線,21380(1)
,附錄,港墘,Káng-kînn,臺北捷運文湖線,21381(1)
,附錄,文德,Bûn-tik,臺北捷運文湖線,21382(1)
,附錄,內湖,Lāi-ôo,臺北捷運文湖線,21383(1)
,附錄,大湖公園,Tuā-ôo Kong-hn̂g,臺北捷運文湖線,21384(1)
,附錄,葫洲,Ôo-tsiu,臺北捷運文湖線,21385(1)
,附錄,東湖,Tang-ôo,臺北捷運文湖線,21386(1)
,附錄,南港軟體園區,Lâm-káng Nńg-thé Hn̂g-khu,臺北捷運文湖線,21387(1)
,附錄,南港,Lâm-káng,臺北捷運板南線,21389(1)
,附錄,南港展覽館,Lâm-káng Tián-lám-kuán,"臺北捷運文湖線,臺北捷運板南線",21390(1)
,附錄,松山機場,Siông-san Ki-tiûnn,臺北捷運文湖線,21391(1)
,附錄,輔大,Hú-tāi,臺北捷運中和新蘆線,21392(1)
,附錄,新莊,Sin-tsng,臺北捷運中和新蘆線,21393(1)
,附錄,頭前庄,Thâu-tsîng-tsng,"臺北捷運中和新蘆線,新北捷運環狀線",21394(1)
,附錄,先嗇宮,Sian-sik-kiong,臺北捷運中和新蘆線,21395(1)
,附錄,三重,Sann-tîng-poo,"臺北捷運中和新蘆線,桃園機場捷運",21396(1)
,附錄,菜寮,Tshài-liâu,臺北捷運中和新蘆線,21397(1)
,附錄,臺北橋,Tâi-pak-kiô,臺北捷運中和新蘆線,21398(1)
,附錄,大橋頭,Tuā-kiô-thâu,臺北捷運中和新蘆線,21399(1)
,附錄,中山國小,Tiong-san Kok-sió,臺北捷運中和新蘆線,21401(1)
,附錄,行天宮,Hîng-thian-kiong,臺北捷運中和新蘆線,21402(1)
,附錄,松江南京,Siông-kang Lâm-kiann,"臺北捷運松山新店線,臺北捷運中和新蘆線",21403(1)
,附錄,忠孝新生,Tiong-hàu Sin-sing,"臺北捷運中和新蘆線,臺北捷運板南線",21404(1)
,附錄,東門,Tang-mn̂g,"臺北捷運淡水信義線,臺北捷運中和新蘆線",21405(1)
,附錄,蘆洲,Lôo-tsiu,臺北捷運中和新蘆線,21406(1)
,附錄,三民高中,Sam-bîn Ko-tiong,臺北捷運中和新蘆線,21407(1)
,附錄,徐匯中學,Tshî-huē Tiong-ha̍k,臺北捷運中和新蘆線,21408(1)
,附錄,三和國中,Sam-hô Kok-tiong,臺北捷運中和新蘆線,21409(1)
,附錄,三重國小,Sam-tiông Kok-sió,臺北捷運中和新蘆線,21410(1)
,附錄,淡水,Tām-tsuí,臺北捷運淡水信義線,21411(1)
,附錄,基隆港,Ke-lâng-káng,海港
,附錄,臺中港,Tâi-tiong-káng,海港
,附錄,高雄港,Ko-hiông-káng,海港
,附錄,蘇澳港,Soo-ò-káng,海港
,附錄,花蓮港,Hua-liân-káng,海港
,附錄,蘭陽溪,Lân-iâng-khe,河川
,附錄,羅東溪,Lô-tong-khe,河川
,附錄,宜蘭河,Gî-lân-hô,河川
,附錄,大礁溪,Tuā-ta-khe,河川
,附錄,小礁溪,Sió-ta-khe,河川
,附錄,淡水河,Tām-tsuí-hô,河川
,附錄,三峽河,Sam-kiap-hô,河川
,附錄,大漢溪,Tāi-hàn-khe,河川
,附錄,新店溪,Sin-tiàm-khe,河川
,附錄,基隆河,Ke-lâng-hô,河川
,附錄,北勢溪,Pak-sì-khe,河川
,附錄,景美溪,Kíng-bé-khe,河川
,附錄,鳳山溪,Hōng-suann-khe,河川
,附錄,頭前溪,Thâu-tsîng-khe,河川
,附錄,油羅溪,Iû-lô-khe,河川
,附錄,上坪溪,Siōng-pîng-khe,河川
,附錄,中港溪,Tiong-káng-khe,河川
,附錄,後龍溪,Āu-lâng-khe,河川
,附錄,老田寮溪,Lāu-tshân-liâu-khe,河川
,附錄,大安溪,Tāi-an-khe,河川
,附錄,景山溪,Kíng-suann-khe,河川
,附錄,大甲溪,Tāi-kah-khe,河川
,附錄,烏溪,Oo-khe,河川
,附錄,貓羅溪,Bâu-lô-khe,河川
,附錄,眉溪,Bâi-khe,河川
,附錄,北港溪,Pak-káng-khe,河川
,附錄,大里溪,Tāi-lí-khe,河川
,附錄,旱溪,Hān-khe,河川
,附錄,頭汴坑溪,Thâu-pān-khenn-khe,河川
,附錄,濁水溪,Lô-tsuí-khe,河川
,附錄,清水溪,Tshing-tsuí-khe,河川
,附錄,陳有蘭溪,Tân-iú-lân-khe,河川
,附錄,東埔蚋溪,Tong-poo-la̍k-khe,河川
,附錄,朴子溪,Phoh-tsú-khe,河川
,附錄,八掌溪,Pat-tsiáng-khe,河川
,附錄,急水溪,Kip-tsuí-khe,河川
,附錄,曾文溪,Tsan-bûn-khe,河川
,附錄,後堀溪,Āu-khut-khe,河川
,附錄,官田溪,Kuann-tiān-khe,河川
,附錄,鹽水溪,Kiâm-tsuí-khe,河川
,附錄,二仁溪,Jī-jîn-khe,河川
,附錄,阿公店溪,A-kong-tiàm-khe,河川
,附錄,高屏溪,Ko-pîn-khe,河川
,附錄,旗山溪,Kî-san-khe,河川
,附錄,美濃溪,Bi-long-khe,河川
,附錄,荖濃溪,Lāu-lông-khe,河川
,附錄,濁口溪,Lô-kháu-khe,河川
,附錄,隘寮溪,Ài-liâu-khe,河川
,附錄,武洛溪,Bú-lok-khe,河川
,附錄,東港溪,Tang-káng-khe,河川
,附錄,四重溪,Sì-tîng-khe,河川
,附錄,卑南溪,Pi-lâm-khe,河川
,附錄,鹿野溪,Lo̍k-iá-khe,河川
,附錄,鹿寮溪,Lo̍k-liâu-khe,河川
,附錄,秀姑巒溪,Siù-koo-luân-khe,河川
,附錄,紅葉溪,Âng-hio̍h-khe,河川
,附錄,富源溪,Hù-guân-khe,河川
,附錄,豐坪溪,Hong-pênn-khe,河川
,附錄,樂樂溪,Lo̍k-lo̍k-khe,河川
,附錄,花蓮溪,Hua-liân-khe,河川
,附錄,木瓜溪,Bo̍k-kue-khe,河川
,附錄,壽豐溪,Siū-hong-khe,河川
,附錄,萬里溪,Bān-lí-khe,河川
,附錄,光復溪,Kong-ho̍k-khe,河川
,附錄,馬太鞍溪,Má-tāi-an-khe,河川
,附錄,和平溪,Hô-pîng-khe,河川
,附錄,十八王公廟,Tsa̍p-peh-ông-kong-biō,廟宇
,附錄,三山國王廟,Sam-san-kok-ông-biō,廟宇
,附錄,大仙寺,Tāi-sian-sī,廟宇
,附錄,大興宮,Tāi-hin-kiong,廟宇
,附錄,仁和宮,Jîn-hô-kiong,廟宇
,附錄,五福宮,Ngóo-hok-kiong,廟宇
,附錄,孔子廟,Khóng-tsú-biō,廟宇
,附錄,水仙宮,Tsuí-sian-kiong,廟宇
,附錄,天后宮,Thian-hiō-kiong,廟宇
,附錄,文武廟,Bûn-bú-biō,廟宇
,附錄,仙公廟,Sian-kong-biō,廟宇
,附錄,代天府,Tāi-thian-hú,廟宇
,附錄,北極殿,Pak-ki̍k-tiān,廟宇
,附錄,行天宮,Hîng-thian-kiong,廟宇
,附錄,佛光山,Hu̍t-kong-san,廟宇
,附錄,沙東宮,Sua-tong-kiong,廟宇
,附錄,奉天宮,Hōng-thian-kiong,廟宇
,附錄,定光佛廟,Tīng-kong-hu̍t-biō,廟宇
,附錄,武聖廟,Bú-sìng-biō,廟宇
,附錄,祀典武廟,Sū-tián-bú-biō,廟宇
,附錄,青山國王廟,Tshing-san-kok-ông-biō,廟宇
,附錄,長和宮,Tiông-hô-kiong,廟宇
,附錄,保安宮,Pó-an-kiong,廟宇
