漢字,羅馬字,建議順序,類型
灶,tsò,,文
灶,tsòo,,文
灶,tsàu,,白
牢,lô,,文
牢,lôo,,文
牢,tiâu,,白
禿,thut,,文
禿,thuh,,白
芋,ū,,文
芋,ōo,,白
芒,bông,,文
芒,bâng,,白
赤,tshiah,,白
赤,tshik,,文
走,tsóo,,文
走,tsió,,文
走,tsáu,,白
車,ki,,文
車,ku,,文
車,tshia,,白
京,king,,文
京,kiann,,白
侍,sū,,文
侍,sī,,文
侍,sāi,,白
供,kiong,,文
供,kiòng,,文
供,king,,白
供,kìng,,白
具,kū,,文
具,khū,,白
到,tò,,文
到,tòo,,文
到,tàu,,白
卓,tok,,文
卓,toh,,白
叔,siok,,文
叔,tsik,,白
呻,sin,,文
呻,tshan,,白
坦,thán,,文
坦,thánn,,白
坪,pîng,,文
坪,phîng,,文
坪,pênn,,白
坪,pînn,,白
坪,phiânn,,白
奈,nāi,,文
奈,tā,,白
尚,siōng,,文
尚,siāng,,文
尚,siūnn,,白
尚,siōnn,,白
居,ku,,文
居,ki,,文
岩,giâm,,文
岩,gâm,,白
岸,huānn,,白
岸,gān,,文
帛,pi̍k,,文
帛,pe̍h,,白
抱,phāu,,文
抱,phō,,白
抵,tí,,文
抵,té,,白
押,ap,,文
押,ah,,白
拒,kū,,文
拒,kī,,文
拔,pua̍t,,文
拔,pua̍h,,白
拔,pue̍h,,白
拔,pui̍h,,白
斧,hú,,文
斧,póo,,白
明,bîng,,文
明,miâ,,白
昏,hun,,文
昏,hng,,白
昏,huinn,,白
易,ī,,文
易,īnn,,文
易,i̍k,,文
易,ia̍h,,白
松,siông,,文
松,tshîng,,白
松,tsîng,,白
枝,ki,,白
枝,tsi,,文
爭,tsing,,文
爭,tsenn,,白
爭,tsinn,,白
狀,tsōng,,文
狀,tsn̄g,,白
狗,kóo,,文
狗,kió,,文
狗,káu,,白
玩,guán,,文
玩,uán,,白
祀,sū,,文
祀,tshāi,,白
祀,sāi,,白
空,khong,,文
空,khòng,,文
空,khang,,白
空,khàng,,白
肥,huî,,文
肥,puî,,白
肩,kian,,文
肩,king,,白
芙,hû,,文
芙,phû,,白
芟,san,,文
芟,sing,,白
芥,kài,,文
芥,kè,,白
芥,kuà,,白
芳,hong,,文
芳,phang,,白
芽,gâ,,文
芽,gê,,白
迎,gîng,,文
迎,ngiâ,,白
迎,giâ,,白
阿,a,,白
阿,o,,文
侯,hôo,,文
侯,hiô,,文
侯,hâu,,白
促,tshiok,,文
促,tshik,,白
俄,ngôo,,文
俄,gô,,文
削,siat,,文
削,siah,,白
厚,hōo,,文
厚,hiō,,文
厚,kāu,,白
咬,ngáu,,文
咬,kā,,白
姚,iâu,,文
姚,iô,,白
姜,kiong,,文
姜,khiong,,文
姜,kiang,,文
姜,khiang,,文
姜,khiunn,,白
姜,kiunn,,白
姜,khionn,,白
姜,kionn,,白
姪,ti̍t,,文
客,khik,,文
客,kheh,,白
屎,sú,,文
屎,sí,,文
屎,sái,,白
屏,pîn,,白
屏,pîng,,文
後,hiō,,文
後,hōo,,文
後,āu,,白
後,hāu,,白
恍,hóng,,文
恍,huánn,,白
扁,pínn,,白
扁,pián,,文
持,tshî,,文
持,tî,,白
挑,thiau,,文
挑,thiáu,,文
挑,thio,,白
映,iòng,,文
映,iàng,,文
映,ìng,,白
架,kà,,文
架,kè,,白
枷,ka,,文
枷,kê,,白
柄,pìng,,文
柄,pènn,,白
柄,pìnn,,白
柏,pik,,文
柏,peh,,白
柱,thiāu,,白
柱,tsū,,文
段,tuān,,文
段,tuānn,,白
洋,iûnn,,白
洋,iônn,,白
洋,iông,,文
洋,iâng,,文
津,tin,,文
津,tsin,,文
洪,hông,,文
洪,âng,,白
活,hua̍t,,文
活,ua̍h,,白
牲,sing,,文
牲,senn,,白
牲,sinn,,白
珍,tin,,文
珍,tsin,,白
界,kài,,文
界,kè,,白
界,kuè,,白
疫,i̍k,,文
疫,ia̍h,,白
矜,khim,,文
矜,king,,白
砂,sa,,文
砂,se,,白
砂,sua,,白
研,gián,,文
研,gíng,,白
研,ngái,,白
研,nguí,,白
秒,biáu,,文
秒,bió,,白
穿,tshuan,,文
穿,tshng,,白
穿,tshuinn,,白
缸,kong,,文
缸,kng,,白
胡,hôo,,文
胡,ôo,,白
苔,thai,,文
苔,thî,,白
苔,tî,,白
若,jio̍k,,文
苧,thú,,文
苧,thí,,文
苧,tē,,白
苧,tuē,,白
茅,mâu,,文
茅,hm̂,,白
虐,gio̍k,,文
虐,gia̍k,,文
虐,gi̍k,,白
香,hiong,,文
香,hiang,,文
香,hiunn,,白
香,hionn,,白
倉,tshong,,文
倉,tshng,,白
倚,í,,文
倚,uá,,白
借,tsià,,文
借,tsioh,,白
凊,tshìng,,文
凊,tshìn,,白
剔,thik,,文
剔,thak,,白
剝,pok,,文
剝,pak,,白
哨,siàu,,文
哨,sàu,,白
唐,tông,,文
唐,tn̂g,,白
娘,liông,,文
娘,liâng,,文
娘,niû,,白
娘,niôo,,白
庭,tîng,,文
庭,tiânn,,白
息,sik,,文
息,sit,,白
悔,hué,,文
悔,huí,,白
扇,siàn,,文
扇,sìnn,,白
拳,kuân,,文
拳,kûn,,白
挨,ai,,文
挨,e,,白
挨,ue,,白
振,tsín,,文
振,tsin,,文
振,tsìn,,文
振,tín,,白
挺,thíng,,文
挺,thánn,,白
旅,lú,,文
旅,lí,,文
晏,àn,,文
晏,uànn,,白
朗,lóng,,文
朗,láng,,白
栗,li̍k,,文
栗,la̍t,,白
株,tsu,,文
株,tu,,白
核,hi̍k,,文
核,hu̍t,,白
格,kik,,文
格,keh,,白
桐,tông,,文
桐,tâng,,白
桐,thâng,,白
桑,song,,文
桑,sng,,白
殷,un,,文
殷,in,,文
浮,hû,,文
浮,phû,,白
浴,io̍k,,文
浴,i̍k,,白
涂,tôo,,文
涂,thôo,,白
烘,hong,,文
烘,hang,,白
狹,hia̍p,,文
狹,e̍h,,白
狹,ue̍h,,白
畜,thiok,,文
畜,thik,,白
病,pīng,,文
病,pēnn,,白
病,pīnn,,白
益,ik,,文
益,iah,,白
眠,biân,,文
眠,bîn,,白
秧,ng,,白
秧,iang,,文
秧,iong,,文
笑,tshiàu,,文
笑,siàu,,文
笑,tshiò,,白
紗,sa,,文
紗,se,,白
紡,hóng,,文
紡,pháng,,白
索,sik,,文
索,soh,,白
翁,ong,,文
翁,ang,,白
胸,hiong,,文
胸,hing,,白
脆,tshuì,,文
脆,tshè,,白
脈,bi̍k,,文
脈,me̍h,,白
脊,tsik,,文
脊,tsiah,,白
脊,tsit,,白
般,pan,,文
般,puann,,白
荒,hong,,文
荒,hng,,白
荒,huinn,,白
荖,ló,,文
荖,lóo,,文
荖,láu,,白
軒,hian,,文
軒,ian,,白
送,sàng,,白
送,sòng,,文
隻,tsik,,文
隻,tsiah,,白
鬥,tòo,,文
鬥,tiò,,文
鬥,tàu,,白
健,kiān,,文
健,kiānn,,白
問,būn,,文
問,mn̄g,,白
問,muī,,白
啞,á,,文
啞,é,,白
域,hi̍k,,文
基,ki,,文
宿,siù,,文
宿,siok,,文
寄,kì,,文
寄,kià,,白
密,bi̍t,,文
密,ba̍t,,白
崗,kong,,文
崗,kang,,白
崩,phing,,文
崩,ping,,文
崩,pang,,白
帳,tiòng,,文
帳,tiàng,,文
帳,tiùnn,,白
帳,tiònn,,白
康,khong,,文
康,khng,,白
張,tiong,,文
張,tiang,,文
張,tiunn,,白
張,tionn,,白
惜,sik,,文
惜,sioh,,白
掃,sò,,文
掃,sàu,,白
掠,lio̍k,,文
掠,lia̍h,,白
斜,siâ,,文
斜,tshiâ,,白
斬,tsám,,文
斬,tsánn,,白
晚,buán,,文
晚,mńg,,白
晚,muí,,白
晝,tiù,,文
晝,tàu,,白
梅,muî,,文
梅,muê,,白
梅,m̂,,白
梅,buê,,白
梅,muâi,,白
梗,kíng,,文
梗,kénn,,白
梗,kínn,,白
梨,lê,,文
梨,lâi,,白
梯,the,,文
梯,thui,,白
涵,hâm,,文
涵,âm,,白
淋,lîm,,文
淋,lâm,,白
淡,tām,,文
淡,tānn,,白
牽,khian,,文
牽,khan,,白
率,sut,,文
率,lu̍t,,文
眾,tsiòng,,文
眾,tsìng,,白
票,phiàu,,文
票,phiò,,白
笛,ti̍k,,文
笛,ta̍t,,白
笠,li̍p,,文
笠,le̍h,,白
笠,lue̍h,,白
粕,phok,,文
粕,phoh,,白
絆,puàn,,文
絆,puànn,,白
缽,puat,,文
缽,puah,,白
舵,tāi,,文
舵,tō,,文
舵,tuā,,白
莊,tsong,,文
莊,tsng,,白
蛀,tsù,,文
蛀,tsiù,,白
蛇,siâ,,文
蛇,tsuâ,,白
袋,tāi,,文
袋,tē,,白
許,hí,,文
許,hú,,文
許,khóo,,白
貨,hònn,,文
貨,huè,,白
貨,hè,,白
貫,kuàn,,文
貫,kǹg,,白
貫,kuìnn,,白
