漢字,羅馬字,建議順序,類型
軟,luán,,文
軟,nńg,,白
軟,nuí,,白
透,thòo,,文
透,thiò,,文
透,thàu,,白
逐,tio̍k,,文
逐,ta̍k,,白
郭,kok,,文
郭,kueh,,白
郭,keh,,白
都,too,,文
都,to,,白
釣,tiàu,,文
釣,tiò,,白
釵,tshai,,文
釵,the,,白
釵,thue,,白
陳,tîn,,文
陳,tân,,白
陸,lio̍k,,文
陸,la̍k,,白
雀,tshiok,,文
雀,tshik,,白
魚,gû,,文
魚,gî,,文
魚,hî,,白
魚,hû,,白
鳥,niáu,,文
鳥,tsiáu,,白
麻,mâ,,文
麻,bâ,,不標
麻,muâ,,白
傅,hù,,文
傅,pòo,,白
傍,pōng,,文
傍,pn̄g,,白
傘,sàn,,文
傘,suànn,,白
剩,sīng,,文
剩,sīn,,白
割,kat,,文
割,kuah,,白
喝,hat,,文
喝,huah,,白
喪,song,,文
喪,sòng,,文
喪,sng,,白
單,tan,,文
單,tuann,,白
場,tiông,,文
場,tshiâng,,文
場,tiûnn,,白
場,tiônn,,白
婿,sè,,文
婿,sài,,白
媒,muî,,文
媒,muê,,白
媒,hm̂,,白
媒,m̂,,白
媒,muâi,,白
富,hù,,文
富,pù,,白
寒,hân,,文
寒,kuânn,,白
尋,sîm,,文
尋,siâm,,白
幅,hok,,文
幅,pak,,白
幾,kí,,文
幾,kuí,,白
彭,phîng,,文
彭,phênn,,白
彭,phînn,,白
惰,tō,,文
惰,tōo,,文
惰,tuānn,,白
揀,kán,,文
揀,kíng,,白
描,biâu,,文
描,biô,,白
握,ok,,文
握,ak,,白
晴,tsîng,,文
晴,tsênn,,白
晴,tsînn,,白
晶,tsing,,文
晶,tsinn,,白
曾,tsing,,文
曾,tsîng,,文
曾,tsan,,白
棉,mî,,白
棉,biân,,文
棚,pîng,,文
棚,pênn,,白
棚,pînn,,白
棚,phiânn,,白
棺,kuan,,文
棺,kuann,,白
椒,tsiau,,文
椒,tsio,,白
殘,tsân,,文
殘,tsuânn,,白
殘,tshân,,白
殼,khok,,文
殼,khak,,白
渴,khat,,文
渴,khuah,,白
湧,ióng,,文
湧,íng,,白
湯,thong,,文
湯,thng,,白
犀,se,,文
犀,sai,,白
琶,pâ,,文
琶,pê,,白
痘,tōo,,文
痘,tiō,,文
痘,tāu,,白
痛,thòng,,文
痛,thàng,,白
硬,gīng,,文
硬,ngē,,白
硬,ngī,,白
程,thîng,,文
程,tîng,,文
程,thiânn,,白
筐,khong,,文
筐,khing,,白
答,tap,,文
答,tah,,白
粟,siok,,文
粟,tshik,,白
粧,tsong,,文
粧,tsng,,白
絞,káu,,文
絞,ká,,白
腔,khiong,,文
腔,khiang,,文
腔,khiunn,,白
腔,khionn,,白
腕,uán,,文
腕,uánn,,白
舒,su,,文
舒,si,,文
菠,po,,文
菠,poo,,文
菠,pue,,白
菠,pe,,白
著,tio̍k,,文
著,tù,,文
著,tio̍h,,白
著,to̍h,,白
虛,hu,,文
虛,hi,,文
裂,lia̍t,,文
裂,li̍h,,白
象,siōng,,文
象,siāng,,文
象,tshiūnn,,白
象,tshiōnn,,白
貯,thú,,文
貯,thí,,文
貯,té,,白
貯,tué,,白
超,tshiau,,文
超,thiau,,白
鄉,hiong,,文
鄉,hiang,,文
鄉,hiunn,,白
鄉,hionn,,白
閒,hân,,文
閒,îng,,白
閒,âinn,,白
雅,ngá,,文
雅,ngé,,白
飯,huān,,文
飯,pn̄g,,白
飯,puīnn,,白
黃,hông,,文
黃,n̂g,,白
黃,uînn,,白
園,uân,,文
園,hn̂g,,白
園,huînn,,白
圓,înn,,白
圓,uân,,文
塗,tôo,,文
塗,thôo,,白
塘,tông,,文
塘,tn̂g,,白
嫁,kà,,文
嫁,kè,,白
搖,iâu,,文
搖,iô,,白
搬,puan,,文
搬,puann,,白
搭,tap,,文
搭,tah,,白
搶,tshióng,,文
搶,tshiáng,,文
搶,tshiúnn,,白
搶,tshiónn,,白
楊,iông,,文
楊,iâng,,文
楊,iûnn,,白
楊,iônn,,白
楓,hong,,文
楓,png,,白
楓,puinn,,白
楝,liān,,文
楝,līng,,白
楹,îng,,文
榔,lông,,文
榔,nn̂g,,白
溶,iông,,文
溶,iûnn,,白
溶,iônn,,白
煞,sat,,文
煞,suah,,白
當,tong,,文
當,tòng,,文
當,tng,,白
當,tǹg,,白
當,tang,,白
當,tàng,,白
盞,tsán,,文
盞,tsuánn,,白
碇,tīng,,文
碇,tiānn,,白
碌,lo̍k,,文
碌,li̍k,,白
筧,kián,,文
筧,kíng,,白
署,sū,,文
署,sī,,文
聖,sìng,,文
聖,siànn,,白
腦,ló,,文
腦,lóo,,文
腦,nóo,,文
腦,náu,,白
腰,io,,白
腰,iau,,文
腱,kiān,,文
腱,kiàn,,白
腳,kiok,,文
腳,kioh,,白
腸,tiông,,文
腸,tshiâng,,文
腸,tn̂g,,白
腹,hok,,文
腹,pak,,白
舅,kiū,,文
舅,kū,,白
葛,kat,,文
葛,kuah,,白
董,tóng,,文
董,táng,,白
蜂,hong,,文
蜂,phang,,白
詭,khuí,,文
詭,kuí,,白
誠,sîng,,文
誠,tsiânn,,白
賊,tsi̍k,,文
賊,tsha̍t,,白
賊,tsa̍t,,白
跡,tsik,,文
跡,tsiah,,白
較,kàu,,文
較,kà,,白
鈸,pua̍t,,文
鈸,pua̍h,,白
鉗,khiâm,,文
鉗,khînn,,白
隔,kik,,文
隔,keh,,白
零,lîng,,文
零,lân,,白
預,ū,,文
預,ī,,文
頓,tùn,,文
頓,tǹg,,白
頓,tuìnn,,白
飽,páu,,文
飽,pá,,白
鼎,tíng,,文
鼎,tiánn,,白
鼠,sú,,文
鼠,sí,,文
鼠,tshú,,白
鼠,tshí,,白
嘔,óo,,文
嘔,ió,,文
嘔,áu,,白
摘,tik,,文
摘,tiah,,白
榕,iông,,文
榕,tshîng,,白
榕,tsîng,,白
榕,siông,,白
榜,póng,,文
榜,pńg,,白
榻,thap,,文
榻,thah,,白
滴,tik,,文
滴,tih,,白
漁,gû,,文
漁,gî,,文
漁,hî,,白
漁,hû,,白
漂,phiàu,,文
漂,phiau,,文
漂,phiò,,白
漏,lōo,,文
漏,liō,,文
漏,lāu,,白
熔,iông,,文
熔,iûnn,,白
熔,iônn,,白
獄,gi̍k,,文
獄,ga̍k,,白
瑪,má,,文
瑪,bé,,白
監,kam,,文
監,kàm,,文
監,kann,,白
睡,suī,,文
睡,tsuē,,白
睡,tsē,,白
碟,tia̍p,,文
碟,ti̍h,,白
端,tuan,,文
端,tuann,,白
綠,lio̍k,,文
綠,li̍k,,白
綿,mî,,白
綿,biân,,文
腐,hú,,文
腐,hū,,白
與,ú,,文
與,í,,文
與,ū,,文
與,ī,,文
蓄,thiok,,文
蓄,hak,,白
誓,sē,,文
誓,sè,,俗
誓,tsuā,,白
輕,khing,,文
輕,khin,,白
酸,suan,,文
酸,sng,,白
酸,suinn,,白
駁,pok,,文
駁,poh,,白
價,kà,,文
價,kè,,白
厲,lē,,文
厲,lī,,白
墨,bi̍k,,文
墨,ba̍k,,白
墳,hûn,,文
墳,phûn,,白
寬,khuan,,文
寬,khuann,,白
廚,tû,,文
廚,tôo,,白
彈,tân,,文
彈,tān,,文
彈,tuânn,,白
彈,tuānn,,白
影,iánn,,白
影,íng,,文
徵,ting,,文
徵,tsing,,文
徵,tin,,文
憐,liân,,文
憐,lîn,,白
撒,sat,,文
撒,suah,,白
撥,puat,,文
撥,puah,,白
暴,pō,,文
暴,pōo,,文
暴,po̍k,,白
樑,liông,,文
樑,liâng,,文
樑,niû,,白
樑,niôo,,白
樟,tsiong,,文
樟,tsiang,,文
樟,tsiunn,,白
樟,tsionn,,白
樣,iōng,,文
樣,iāng,,文
樣,iūnn,,白
樣,iōnn,,白
歐,io,,文
歐,oo,,文
歐,au,,白
漿,tsiong,,文
漿,tsiang,,文
漿,tsiunn,,白
漿,tsionn,,白
潑,phuat,,文
潑,phuah,,白
潘,phuan,,文
潘,phuann,,白
熟,sio̍k,,文
熟,si̍k,,白
瘡,tshong,,文
瘡,tshng,,白
盤,puân,,文
盤,phuân,,文
盤,puânn,,白
碼,má,,文
碼,bé,,白
箠,suî,,文
箠,tshuê,,白
箠,tshê,,白
箭,tsiàn,,文
箭,tsìnn,,白
箱,siong,,文
箱,siang,,文
箱,siunn,,白
箱,sionn,,白
範,huān,,文
範,pān,,白
篇,phian,,文
篇,phinn,,白
糊,hôo,,文
糊,kôo,,白
緝,tship,,文
蔬,soo,,文
蔬,se,,白
蔬,sue,,白
蝴,hôo,,文
蝴,ôo,,白
蝶,tia̍p,,文
蝶,ia̍h,,白
誰,suî,,文
誰,tsuî,,白
諍,tsìng,,文
諍,tsènn,,白
諍,tsìnn,,白
踏,ta̍p,,文
踏,ta̍h,,白
踢,thik,,文
踢,that,,白
輛,lióng,,文
輛,liōng,,白
輛,liáng,,文
輛,liāng,,白
鄭,tīng,,文
鄭,tēnn,,白
鄭,tīnn,,白
鞋,hâi,,文
鞋,ê,,白
鞋,uê,,白
鞍,an,,文
鞍,uann,,白
頦,hâi,,文
頦,huâi,,白
餘,û,,文
餘,î,,文
駛,sú,,文
駛,sái,,白
壁,pik,,文
壁,piah,,白
壇,tân,,文
壇,tuânn,,白
憑,pîng,,文
憑,pîn,,白
曆,li̍k,,文
曆,la̍h,,白
樸,phok,,文
樸,phoh,,白
樹,tshiū,,白
樹,sū,,文
樹,sī,,文
橄,kám,,文
橄,kan,,文
橄,kann,,白
橋,kiâu,,文
橋,kiô,,白
機,ki,,文
機,kui,,白
橫,hîng,,文
橫,huâinn,,白
橫,huînn,,白
濁,to̍k,,文
濁,tso̍k,,文
濁,ta̍k,,白
濁,lô,,訓
燃,jiân,,文
燃,liân,,文
燃,giân,,文
燃,hiânn,,白
燕,iàn,,文
燕,ìnn,,白
獨,to̍k,,文
獨,ta̍k,,白
磚,tsuan,,文
磚,tsng,,白
磚,tsuinn,,白
艙,tshong,,文
艙,tshng,,白
蕉,tsiau,,文
蕉,tsio,,白
蕩,tōng,,文
蕩,tn̄g,,白
蕭,siau,,文
蕭,sio,,白
賴,nāi,,文
賴,lāi,,文
賴,luā,,白
輯,tsi̍p,,文
輯,tship,,白
醒,síng,,文
醒,tshénn,,白
醒,tshínn,,白
鋼,kong,,文
鋼,kòng,,文
鋼,kǹg,,白
錄,lio̍k,,文
錄,li̍k,,白
錄,lo̍k,,俗
錠,tīng,,文
錠,tiānn,,白
錢,tsiân,,文
錢,tsînn,,白
錫,sik,,文
錫,siah,,白
錯,tshok,,文
錯,tshò,,文
錯,tshòo,,文
頭,thiô,,文
頭,thôo,,文
頭,thâu,,白
鴦,iunn,,白
鴦,ionn,,白
鴦,iong,,文
鴦,iang,,文
龜,kui,,文
龜,ku,,白
壓,ap,,文
壓,ah,,白
嬰,ing,,文
嬰,enn,,白
嬰,inn,,白
嶺,líng,,文
嶺,niá,,白
懂,tóng,,文
懂,táng,,白
應,ing,,文
應,ìng,,文
應,ìn,,白
戴,tài,,文
戴,tè,,白
戴,tì,,白
檀,tân,,文
檀,tuânn,,白
爵,tsiok,,文
爵,tsik,,白
環,khuân,,白
環,huân,,文
盪,tōng,,文
盪,tn̄g,,白
礁,tsiau,,文
礁,ta,,白
篷,hông,,文
篷,phâng,,白
篷,pông,,白
篾,bia̍t,,文
篾,bi̍h,,白
糞,hùn,,文
糞,pùn,,白
糠,khong,,文
糠,khng,,白
縫,hông,,文
縫,hōng,,文
縫,pâng,,白
縫,phāng,,白
縮,siok,,文
縮,sok,,白
績,tsik,,文
績,tseh,,白
翳,è,,文
翳,ì,,白
翼,i̍k,,文
翼,si̍t,,白
膿,lông,,文
膿,lâng,,白
薄,po̍k,,文
薄,po̍h,,白
薯,tsû,,文
薯,tsî,,文
螺,lôo,,文
螺,lê,,白
蟋,sik,,文
蟋,sih,,白
蟒,bóng,,文
蟒,báng,,白
賽,sài,,文
賽,sè,,白
邀,iau,,文
邀,io,,白
錨,biâu,,文
錨,bâ,,白
鍾,tsiong,,文
鍾,tsing,,白
霞,hâ,,文
霞,hê,,白
鮮,sian,,文
鮮,sián,,文
鮮,tshinn,,白
鴿,kap,,文
鴿,kah,,白
叢,tsông,,文
叢,tsâng,,白
嬸,sím,,文
嬸,tsím,,白
獵,lia̍p,,文
獵,la̍h,,白
穡,sik,,文
穡,sit,,白
竅,khiàu,,文
竅,khiò,,白
臍,tsê,,文
臍,tsâi,,白
舊,kiū,,文
舊,kū,,白
藉,tsik,,文
藉,tsiah,,白
藉,tsià,,文
藍,lâm,,文
藍,nâ,,白
覆,hok,,文
覆,phak,,白
豐,hong,,文
豐,phong,,白
豐,phang,,白
額,gi̍k,,文
額,gia̍h,,白
額,hia̍h,,白
騎,khî,,文
騎,khiâ,,白
鵝,ngôo,,文
鵝,gô,,白
鵝,giâ,,白
嚨,lông,,文
嚨,nâ,,白
寵,thióng,,文
寵,thíng,,白
曝,pho̍k,,文
曝,pha̍k,,白
瓊,khîng,,白
瓊,khiông,,文
簷,liâm,,文
簷,iâm,,文
簷,tsînn,,白
繩,sîng,,文
繩,tsîn,,白
羹,king,,文
羹,kenn,,白
羹,kinn,,白
臘,lia̍p,,文
臘,la̍h,,白
藤,tîn,,白
藤,tîng,,文
藥,io̍k,,文
藥,ia̍k,,文
藥,io̍h,,白
藩,phuan,,文
藩,huan,,白
蟹,hāi,,文
蟹,hē,,白
蟹,huē,,白
蟻,gí,,文
蟻,hiā,,白
轎,kiāu,,文
轎,kiō,,白
醮,tsiàu,,文
醮,tsiò,,白
鶉,tshun,,文
鶉,tun,,白
懸,hiân,,文
懸,kuân,,白
懸,kuâinn,,白
攔,lân,,文
攔,nuâ,,白
癢,ióng,,文
癢,iáng,,文
癢,tsiūnn,,白
癢,tsiōnn,,白
籃,nâ,,白
籃,lâm,,文
蠕,jû,,文
蠕,lû,,文
蠕,lùn,,白
觸,tshiok,,文
觸,tshik,,白
贏,îng,,文
贏,iânn,,白
鐃,lâu,,文
鐃,nâ,,白
麵,mī,,白
麵,biān,,文
欄,lân,,文
欄,nuâ,,白
爛,lān,,文
爛,nuā,,白
纏,tiân,,文
纏,tînn,,白
蠟,la̍p,,文
蠟,la̍h,,白
襪,bua̍t,,文
襪,bue̍h,,白
襪,be̍h,,白
贓,tsong,,文
贓,tsng,,白
鐵,thih,,白
鐵,thiat,,文
鶴,ho̍k,,文
鶴,ho̍h,,白
攤,than,,文
攤,thuann,,白
歡,huan,,文
歡,huann,,白
瓤,jiông,,文
瓤,liông,,文
瓤,giông,,文
瓤,nn̂g,,白
糴,ti̍k,,文
糴,tia̍h,,白
聾,lông,,文
聾,lâng,,白
臟,tsōng,,文
臟,tsn̄g,,白
鬚,su,,文
鬚,tshiu,,白
鱉,piat,,文
鱉,pih,,白
纓,ing,,文
纓,enn,,白
纓,iann,,白
驚,king,,文
驚,kiann,,白
驚,kenn,,白
驚,kinn,,白
驛,i̍k,,文
驛,ia̍h,,白
髓,tshuí,,文
髓,tshué,,白
髓,tshé,,白
鱗,lîn,,文
鱗,lân,,白
蠶,tshâm,,文
蠶,thâm,,白
蠶,tshân,,官
讓,jiōng,,文
讓,niū,,白
讓,niōo,,白
鹼,kiám,,文
鹼,kinn,,白
廳,thing,,文
廳,thiann,,白
籮,lô,,文
籮,lôo,,文
籮,luâ,,白
糶,thiàu,,文
糶,thiò,,白
觀,kuan,,文
觀,kuàn,,文
鑰,io̍k,,文
鑰,ia̍k,,文
鑰,io̍h,,白
纜,lám,,文
纜,lām,,白
鑽,tsuàn,,文
鑽,tsǹg,,白
鑽,tsuìnn,,白
鑿,tsho̍k,,文
鑿,tsha̍k,,白
妝,tsong,,文
妝,tsng,,白
欖,lám,,文
欖,ná,,白
似,sū,,文
似,sāi,,白
溝,koo,,文
溝,kio,,文
溝,kau,,白
莓,muî,,文
莓,m̂,,白
嚇,hik,,文
嚇,heh,,白
嚇,hiannh,,白
始,sí,,文
掣,tshiat,,文
掣,tshuah,,白
筒,tông,,文
筒,tâng,,白
磐,phuân,,文
磐,puânn,,白
嗇,sik,,文
嗇,siah,,白
閱,ua̍t,,文
閱,ia̍t,,文
蝕,si̍k,,文
蝕,si̍h,,白
劃,i̍k,,文
劃,hi̍k,,文
劃,ue̍h,,白
劃,ui̍h,,白
一,it,,不標
乙,it,,不標
丁,ting,,不標
七,tshit,,不標
了,liáu,,不標
二,jī,,不標
人,jîn,,不標
入,ji̍p,,不標
刀,to,,不標
刁,tiau,,不標
刁,thiau
卜,pok,,文
卜,poh,,白
又,iū,,不標
个,kò,,文
个,kòo,,文
丸,uân,,不標
么,io,,不標
么,iau
乞,khit,,不標
也,iá,,文
亡,bông,,不標
凡,huân,,不標
叉,tsha,,文
叉,tshe,,白
土,thóo,,不標
土,thôo,,訓
士,sū,,不標
寸,tshùn,,不標
巾,kin,,不標
巾,kun,,不標
干,kan,,不標
才,tsâi,,不標
不,put,,不標
不,m̄,,訓
丑,thiú,,不標
丹,tan,,不標
之,tsi,,不標
予,ú,,文
予,û,,文
予,í,,文
予,î,,文
仁,jîn,,不標
仁,lîn,,不標
仁,gîn
仄,tsik,,文
仄,tseh,,白
仆,phok,,文
仆,phak,,白
仇,siû,,不標
仇,kiû,,不標
允,ín,,不標
允,ún,,不標
冗,jióng,,文
冗,lióng,,文
冗,gióng,,文
冗,līng,,不標
冗,liōng,,不標
凶,hiong,,不標
切,tshiat,,不標
切,tshè,,不標
勾,koo,,文
勾,kio,,文
勾,kau,,白
化,huà,,文
化,huè,,白
匹,phit,,不標
厄,ik,,文
厄,eh,,白
友,iú,,不標
壬,jîm,,不標
壬,lîm,,不標
壬,gîm
太,thài,,不標
夫,hu,,不標
廿,jia̍p,,不標
廿,lia̍p,,不標
廿,gia̍p
引,ín,,不標
心,sim,,不標
戶,hōo,,不標
文,bûn,,不標
斤,kin,,不標
斤,kun,,不標
日,ji̍t,,不標
欠,khiàm,,不標
止,tsí,,不標
比,pí,,不標
氏,sī,,不標
爪,jiáu,,不標
爪,niáu,,不標
爪,giáu
父,hū,,不標
王,ông,,不標
主,tsú,,不標
乎,hoo,,文
仕,sū,,不標
付,hù,,不標
仙,sian,,不標
令,līng,,不標
以,í,,不標
冊,tshik,,文
冊,tsheh,,白
出,tshut,,不標
刊,khan,,不標
包,pau,,不標
卌,siap,,不標
卌,siak
占,tsiàm,,不標
占,tsiam,,不標
卯,báu,,不標
去,khì,,不標
去,khù
古,kóo,,不標
句,kù,,不標
只,tsí,,不標
叫,kiàu,,文
叫,kiò,,白
叮,ting,,不標
台,tâi,,訓
台,thai,,文
囚,siû,,不標
失,sit,,不標
奴,lôo,,不標
市,tshī,,不標
布,pòo,,不標
幼,iù,,不標
戊,bōo,,不標
扒,pài,,文
扒,pat,,文
打,tánn,,不標
民,bîn,,不標
汁,tsip,,文
汁,tsiap,,白
汁,tsap,,白
犯,huān,,不標
甘,kam,,不標
由,iû,,不標
申,sin,,不標
示,sī,,不標
穴,hia̍t,,不標
立,li̍p,,不標
交,kau,,不標
亥,hāi,,不標
亦,i̍k,,不標
件,kiānn,,不標
任,jīm,,不標
任,jîm,,不標
份,hūn,,不標
仿,hóng,,不標
伊,i,,不標
休,hiu,,不標
兆,tiāu,,不標
再,tsài,,不標
冰,ping,,不標
刐,tán,,文
刐,táinn,,白
刑,hîng,,不標
列,lia̍t,,不標
匠,tshiōng,,文
匠,tshiāng,,文
匠,tshiūnn,,白
匠,tshiōnn,,白
印,ìn,,不標
吉,kiat,,不標
吊,tiàu,,不標
吐,thóo,,不標
吐,thòo,,不標
囝,kián,,文
囝,kiánn,,白
囝,kánn,,白
囝,kín,,白
囝,kán,,白
回,huê,,文
回,hê,,白
囟,sìn,,不標
因,in,,不標
在,tsāi,,不標
圳,tsùn,,不標
多,to,,不標
多,too
奸,kan,,不標
如,jû,,不標
如,jî
妃,hui,,不標
字,tsū,,文
字,jū,,文
字,jī,,白
存,tsûn,,不標
存,tshûn,,不標
寺,sī,,不標
尖,tsiam,,不標
州,tsiu,,不標
庄,tsong,,文
庄,tsng,,白
戌,sut,,不標
扣,khòo,,文
扣,khiò,,文
扣,khàu,,白
收,siu,,不標
早,tsó,,文
早,tsóo,,文
早,tsá,,白
朱,tsu,,不標
次,tshù,,不標
此,tshú,,不標
江,kang,,不標
池,tî,,不標
米,bí,,不標
考,khó,,不標
考,khónn
臣,sîn,,不標
自,tsū,,不標
色,sik,,不標
估,kóo,,不標
佇,thú,,文
佇,thí,,文
佇,tī,,白
佇,tū,,白
佈,pòo,,不標
位,uī,,不標
克,khik,,不標
免,bián,,不標
兵,ping,,不標
冷,líng,,不標
判,phuàn,,文
判,phuànn,,白
助,tsōo,,不標
劫,kiap,,不標
君,kun,,不標
吞,thun,,不標
吟,gîm,,不標
吮,ún,,文
吮,tshńg,,白
吸,khip,,不標
吼,hóo,,文
吼,hió,,文
吼,háu,,白
呃,ik,,文
呃,eh,,白
呆,phái,,訓
呆,pháinn,,訓
告,kò,,不標
告,kòo
囤,tún,,不標
囥,khòng,,文
囥,khǹg,,白
囮,ngôo,,文
囮,buê,,不標
坎,khám,,不標
夾,kiap,,文
夾,ngeh,,白
夾,ngueh,,白
夾,gueh,,白
夾,kueh,,白
妖,iau,,不標
妗,kīm,,不標
妙,biāu,,文
宋,sòng,,文
宋,sàng,,白
完,uân,,不標
尾,bí,,文
尾,bué,,白
尾,bé,,白
尿,jiāu,,文
尿,liāu,,文
尿,giāu,,文
尿,jiō,,白
尿,liō,,白
尿,giō,,白
局,kio̍k,,文
局,ki̍k,,白
屁,phì,,文
屁,phuì,,白
巡,sûn,,不標
形,hîng,,不標
忌,kī,,文
忌,khī,,白
志,tsì,,不標
忘,bông,,文
忘,bōng,,不標
快,khuài,,文
快,khuìnn,,白
快,khuànn,,白
快,khuàinn,,白
扮,pān,,不標
扯,tshé,,不標
找,tsāu,,不標
找,huâ
技,ki,,不標
技,kī
抄,tshau,,不標
抑,ik,,文
抓,jiáu
抓,liáu
抓,giáu
抓,jiàu,,不標
抓,liàu,,不標
抓,giàu
抓,niàu,,不標
投,tôo,,文
投,tiô,,文
投,tâu,,白
改,kái,,文
改,ké,,白
改,kué,,白
攻,kong,,不標
李,lí,,不標
杏,hīng,,不標
材,tsâi,,不標
村,tshun,,文
村,tshuan,,文
村,tshng,,白
村,tshuinn,,白
杓,tsiok,,文
杓,tsiak,,文
杓,piau,,文
杓,phiau,,文
杓,sia̍h,,不標
束,sok,,不標
步,pōo,,不標
每,muí,,不標
求,kiû,,不標
汰,thài,,不標
沃,ak,,不標
沖,tshiong,,不標
災,tsai,,不標
狂,kông,,不標
男,lâm,,不標
疔,ting,,不標
矣,í,,文
矣,ì,,文
系,hē,,不標
罕,hán,,不標
肚,tōo,,不標
肚,tóo,,不標
角,kak,,不標
言,giân,,不標
言,gân
豆,tōo,,文
豆,tiō,,文
豆,tāu,,不標
足,tsiok,,不標
身,sin,,不標
辛,sin,,不標
辰,sîn,,不標
邪,siâ,,不標
酉,iú,,不標
里,lí,,不標
防,hông,,不標
乖,kuai,,不標
來,lâi,,不標
例,lē,,不標
例,lī
兔,thòo,,不標
其,kî,,不標
典,tián,,不標
制,tsè,,不標
制,tsì
刺,tshì,,文
刺,tshik,,文
刺,tshiah,,白
刻,khik,,文
卒,tsut,,不標
卦,kuà,,不標
取,tshú,,不標
取,tshí
受,siū,,不標
味,bī,,不標
咒,tsiù,,不標
坵,khiu,,文
坵,khu,,白
夜,iā,,不標
奅,phàu,,文
妹,muē,,白
妹,bē,,白
妹,muāi,,白
妹,māi,,白
妹,muī,,文
妻,tshe,,文
妻,tshue,,白
妾,tshiap,,不標
姆,bóo,,文
姆,ḿ,,白
姊,tsí,,不標
姊,tsé,,不標
姑,koo,,不標
季,kuì,,不標
孤,koo,,不標
屆,kài,,不標
屈,khut,,不標
岫,siū,,不標
帕,phà,,文
帕,phè,,白
帖,thiap,,不標
幸,hīng,,不標
底,té,,文
底,tué,,白
店,tiàm,,不標
府,hú,,不標
延,iân,,文
延,tshiân,,白
忠,tiong,,不標
念,liām,,不標
戽,hòo,,不標
所,sóo,,不標
所,sé
抨,pîng,,文
披,phi,,不標
抹,buat,,文
抹,buah,,白
抽,thiu,,不標
抾,khu,,文
抿,bín,,不標
拄,tú,,不標
拄,tsú
拆,thik,,文
拆,thiah,,白
拈,liam,,文
拈,liâm,,文
拈,ni,,白
拐,kuái,,不標
拑,kiâm,,文
拑,khiâm,,文
拑,khînn,,不標
拖,tho,,文
拖,thoo,,文
拖,thua,,白
拗,áu,,不標
拚,piān,,文
拚,piànn,,不標
旺,ōng,,不標
服,ho̍k,,不標
杮,huì,,文
杮,phuè,,白
杮,phè,,白
杯,pue,,不標
板,pán,,不標
枋,hong,,文
枋,pang,,白
武,bú,,不標
河,hô,,不標
河,hôo
油,iû,,不標
治,tī,,不標
沿,iân,,不標
泅,siû,,不標
泏,tut,,文
泏,tsuat,,不標
法,huat,,不標
波,pho,,不標
波,phoo
炊,tshui,,文
炊,tshue,,白
炊,tshe,,白
炎,iām,,不標
炒,tsháu,,文
炒,tshá,,白
爬,pâ,,文
爬,pê,,白
爸,pó,,文
爸,póo,,文
版,pán,,不標
盲,bông,,文
盲,bîng,,文
直,ti̍t,,不標
社,siā,,不標
糾,kiù,,文
糾,kiú,,文
羌,khiong,,文
羌,kiong,,文
羌,kiunn,,白
羌,kionn,,白
者,tsiá,,不標
股,kóo,,不標
肢,tsi,,文
肢,ki,,白
肯,khíng,,不標
肺,huì,,文
肺,phài,,文
肺,hì,,白
虎,hóo,,不標
虯,kiû,,文
虯,khiû,,白
近,kīn,,文
近,kūn,,文
金,kim,,不標
非,hui,,不標
亭,tîng,,文
亭,tân,,白
侵,tshim,,不標
俗,sio̍k,,不標
保,pó,,不標
保,póo
信,sìn,,不標
冠,kuàn,,文
冠,kuan,,文
剃,thè,,文
剃,thì,,白
剃,thih,,白
剋,khik,,不標
勇,ióng,,不標
南,lâm,,不標
卻,khiok,,文
卻,khiak,,文
厘,lî,,不標
咯,ko̍k,,不標
咯,lo̍k,,不標
哀,ai,,不標
品,phín,,不標
哈,gap,,文
哈,ha,,官
奏,tsòo,,文
奏,tsiò,,文
奏,tsàu,,白
契,khiat,,文
契,siat,,文
契,khè,,文
契,khuè,,白
奕,i̍k,,文
姨,î,,不標
孩,hâi,,不標
室,sik,,不標
室,sit
屍,si,,不標
巷,hāng,,不標
帝,tè,,不標
度,tōo,,不標
度,to̍k,,不標
律,lu̍t,,不標
急,kip,,不標
怨,uàn,,不標
拜,pài,,不標
拭,sik,,文
拭,tshit,,白
按,àn,,不標
政,tsìng,,不標
故,kòo,,不標
施,si,,不標
施,sì,,不標
春,tshun,,不標
是,sī,,不標
枵,hiau,,文
枵,iau,,白
柑,kam,,不標
柚,iū,,不標
查,tsa,,文
查,tse,,文
查,tshâ,,白
柿,khī,,不標
歪,uai,,不標
洒,sián,,文
洒,sá,,文
洒,sè,,不標
洗,sián,,文
洗,sé,,文
洗,sué,,白
洘,khó,,不標
洞,tōng,,不標
洩,siat,,文
洩,sia̍p,,不標
洲,tsiu,,不標
派,phài,,不標
炭,thàn,,文
炭,thuànn,,白
炮,pâu,,文
炮,phàu,,不標
炰,pû,,不標
炸,tsà,,不標
為,uî,,不標
為,uī,,不標
畏,uì,,不標
疤,pa,,不標
疥,kài,,文
疥,kè,,白
疥,kuè,,白
癸,kuì,,文
皆,kai,,不標
盆,phûn,,不標
省,síng,,文
