義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,少,多的相反。大多用於可計數之實體性物質。,,濟,多。
,歹,壞。惡的、不好的。,,好,美、善、佳等與「壞」相對的正面形容。
,少女,年輕未婚的女孩子。,,阿婆,老婦。對年長婦人的通稱。
,戶口名,正名、本名。登記在戶口名簿上的名字，有別一般偏名。,,偏名,綽號、小名。非正式的名字。
,太太,丈夫稱呼自己的妻子。 ,,查埔人,丈夫、老公。
,歹天,惡劣的天氣。,,好天,好天氣。晴朗、氣溫宜人，令人覺得舒爽。
,歹天,惡劣的天氣。,,大晡日,出大太陽的好天氣。
,歹心,壞心。形容人居心不良或心腸惡毒。,,好心,善心、善意。
,歹代,壞事、惡事。,,好代,好事、善行事。
,歹代,壞事、壞消息。,,好代,好消息。
,文市,零售商行。,,武市,從事外送、大宗買賣，主動開發客源的商行。
,毋甘願,不甘心、不甘願。,,甘心,寧願、情願。自己願意，沒有半點勉強。
,毋甘願,不甘心、不甘願。,,甘願,寧願、情願。自己願意，沒有半點勉強。
,毋甘願,不甘心、不甘願。,,情願,甘心、願意。
,月光暝,月夜。有月光的夜晚。,,月暗暝,暗夜、月黑天。沒有月光的夜晚。
,歹囝,不良少年、浪蕩子。,,好囝,潔身自愛，積極進取的孩子。
,少年,年紀輕。,,臭老,老相、老態。形容一個人的外表看起來比實際年齡老。
,少年,年紀輕。,,老相,老態。像老人的相貌。
,歹年冬,荒年、歉歲。農作物收成不好的年頭。,,好年冬,豐年。指農作物豐收的年頭。
,毋好勢,不方便、不湊巧。,,拄仔,恰恰、恰巧。
,歹死,臨終時遭受痛苦。,,好死,壽終正寢。形容人享盡天年，在家中自然死亡。
,毋成,不成、算不上。,,成,成為。
,毋成人,不肖之徒。罵人不像樣。,,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。
,毋成囝,不良少年、小混混。,,好囝,潔身自愛，積極進取的孩子。
,毋成樣,不像話、不像樣。,,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。
,毋成樣,不像話、不像樣。,,成款,像樣。達到令人滿意的樣子。
,毋但,不只、不但。,,干焦,只有、僅僅。
,毋免,不必、不用、不需要。,,必要,絕對需要，不可缺少的。
,月尾,月底。指一個月的最後幾天。,,月初,月頭、上旬。一個月剛開始的頭幾天。
,月尾,月底。指一個月的最後幾天。,,月頭,月初。每月起初的幾天。
,反抗,心中不服而予以抗拒。,,順從,遵從、依從。
,反抗,心中不服而予以抗拒。,,壓落底,壓制使順從、壓制使屈服。
,歹育飼,不容易扶養，指小孩子身體不好、多病。,,好育飼,指孩子健康，很好養育。
,月初,月頭、上旬。一個月剛開始的頭幾天。,,月尾,月底。指一個月的最後幾天。
,月初,月頭、上旬。一個月剛開始的頭幾天。,,月底,月底。每個月的最後幾天。
,歹命,苦命、不幸。命運不好、沒有福份。,,好命,命好。即指人的出身好或際遇好。
,歹命人,命運坎坷的人。,,好額人,有錢人。錢財充裕、生活富足的人。
,歹命人,命運坎坷的人。,,有錢人,富有的人。
,手底,手掌。,,手盤,手背。
,歹性地,性情不好，容易發脾氣。,,好性地,脾氣好、不隨便動怒。
,毋拄好,搞不好、不湊巧。,,拄好,恰巧、剛好。
,毋拄好,搞不好、不湊巧。,,都合,時間、地點等條件的配合狀況。源自日語「都合（つごう）」。
,毋拄好,搞不好、不湊巧。,,千拄千,無巧不成書，準確的有點異常。
,毋拄好,搞不好、不湊巧。,,拄仔,恰恰、恰巧。
,毋拄好,搞不好、不湊巧。,,對千,剛好、恰好。
,歹空,無利可圖、不好的事。,,好空,好機會、好事情。
