詞目id,詞目漢字,對應詞目id,對應詞目漢字
,烏格仔,,厚脣
,烏格仔,,厚脣仔
,烏格仔,,烏格
,烏甜仔菜,,烏子仔菜
,烏甜仔菜,,烏鬼仔菜
,烏魚,,信魚
,烏魚,,烏仔魚
,烏魚,,聖魚
,烏焦瘦,,焦瘦
,烏蝛,,烏蝛仔
,畜生,,精牲
,狼毒,,釘毒
,病情,,病況
,盍,,哪
,盍,,呔
,真誠,,有夠
,真誠,,誠實
,真誠,,實在
,真實,,誠實
,真實,,實在
,真實,,正實
,秤,,量
,秤,,磅
,秤仔花,,秤花
,神去,,戇神
,神去,,出神
,神桌,,尪架桌
,神桌,,佛桌
,神桌,,神明桌
,祝賀,,恭喜
,祝賀,,祝福
,祝福,,恭喜
,祝福,,祝賀
,紗仔,,絲仔
,紗仔,,絲仔布
,胸坎,,頂腹蓋
,胸坎,,胸槽
,紙枋,,厚紙坯
,紙枋,,厚紙枋
,純金,,千足
,紙扇,,葵扇
,紙扇,,篾扇
,純然,,干焦
,純然,,單單
,紗窗,,蠓仔窗
,紙篋仔,,紙盒仔
,茈,,幼
,茶心粕,,茶米粕
,茶心粕,,茶粕
,茶心粕,,茶渣
,臭耳甕仔,,臭耳
,臭耳甕仔,,臭耳膿
,臭屁仙,,激屎龜
,臭尿薟,,臭尿破
,臭尿薟,,臭尿羶
,茶杯,,茶甌
,茶杯,,茶杯仔
,舀肥,,挹肥
,茶莊,,茶行
,茶莊,,茶郊
,臭腥,,臭臊
,臭腥,,鮮臊
,臭腥公,,臭腥仔
,臭腥公,,臭腥母
,臭跤液,,臭液味
,臭跤液,,臭跤液味
,草寮仔,,草棚
,茶館,,茶店
,茶館,,茶室
,臭臊,,臭腥
,臭臊,,鮮臊
,草藥,,藥草
,草藥,,草藥仔
,臭藥丸仔,,征露丸
,袂收山,,袂收尾
,袂收山,,袂收煞
,迵,,透
,起𪁎,,起痟
,逆子,,不孝子
,逆子,,不肖子
,起火,,燃火
,訕削,,訕潲
,訕削,,訕洗
,財神,,財神爺
,財神爺,,財神
,財產,,家伙
,起程,,起行
,起雄,,起殺
,起雄,,起橫
,起跤動手,,動跤動手
,逃避,,閃避
,逃避,,逃閃
,高,,懸
,骨力,,拍拚
,酒仙,,燒酒仙
,酒母,,酒麴
,針車,,車仔
,針車,,裁縫車
,骨烌,,骨頭烌
,陣疼,,催陣
